Asset_Group,SourceAssetCode,AssetName,LocalPath,GitBlobSHA,Bytes
armor,mu0000001,셔츠,master/assets/items/armor/mu0000001_셔츠.webp,546e71abe755d4d4b407ab03f08a4524f8dfbecb,204
armor,mu0000002,레더튜닉,master/assets/items/armor/mu0000002_레더튜닉.webp,f693cf2b16d381fe15e8c2ee7d3cb889fad06475,268
armor,mu0000003,도복,master/assets/items/armor/mu0000003_도복.webp,a2562e3f2c1847c87e3e373763b3e935edb7d308,234
armor,mu0000004,스카웃튜닉,master/assets/items/armor/mu0000004_스카웃튜닉.webp,c6fe43fdef85165c96adbf1b1928c71064d85b8e,268
armor,mu0000005,셍즈,master/assets/items/armor/mu0000005_셍즈.webp,f987b03ae99e6ba5fdc8b574bc777b3b3e36e681,282
armor,mu0000006,후드로브,master/assets/items/armor/mu0000006_후드로브.webp,b8a5d59b69e415622a3fea4b3f86be48c043a5fc,216
armor,mu0000007,지폰,master/assets/items/armor/mu0000007_지폰.webp,b7015f2263bd1908e940d6ad616655c4166350ac,304
armor,mu0000008,천지도복,master/assets/items/armor/mu0000008_천지도복.webp,7f377331eefb9e48641742c64aea2a1f301683af,216
armor,mu0000009,UNNAMED,master/assets/items/armor/mu0000009_UNNAMED.webp,b70e85de287c85d72690525013aef06edffad464,388
armor,mu0000010,UNNAMED,master/assets/items/armor/mu0000010_UNNAMED.webp,b401f456ba012df35e84f2a5a14c84d6e796f28b,302
armor,mu0000011,달마티카,master/assets/items/armor/mu0000011_달마티카.webp,f669519724e2d8810acf1d2daa228a9da3df695d,344
armor,mu0000012,하프플레이트,master/assets/items/armor/mu0000012_하프플레이트.webp,97411e3661ac7b1d49ce169856669b4d7eb54d00,118
armor,mu0000013,단도복,master/assets/items/armor/mu0000013_단도복.webp,ce8cd635e29ea0db5c8c3e2fc576a866af759c49,316
armor,mu0000014,팔루텐,master/assets/items/armor/mu0000014_팔루텐.webp,33d55aec49717fd5439f318690220f3bd0e30e09,280
armor,mu0000015,맨틀,master/assets/items/armor/mu0000015_맨틀.webp,fcbd542467eb7b6905407b974e0cd5d7c7c9276d,380
armor,mu0000016,로럼,master/assets/items/armor/mu0000016_로럼.webp,56078042b9f5b3099499fab2707f789fc0205993,402
armor,mu0000017,카스뮴아머,master/assets/items/armor/mu0000017_카스뮴아머.webp,fe63fa1d5fff8e4a6acb9cf44cb533523ecac191,422
armor,mu0000018,선풍도복,master/assets/items/armor/mu0000018_선풍도복.webp,89fb72f3fb47d3f9c7026024e4e0d6b20eb45566,298
armor,mu0000019,키톤,master/assets/items/armor/mu0000019_키톤.webp,c2d9c462aa71d66cfe6de2c89aa422ac19e0e1ce,340
armor,mu0000020,위저드로브,master/assets/items/armor/mu0000020_위저드로브.webp,d8cfce1a651e65df71e5ed413dfe66c4b1860e7a,308
armor,mu0000021,UNNAMED,master/assets/items/armor/mu0000021_UNNAMED.webp,613efac847edd8818306bb603d28980f1dd0da0b,348
armor,mu0000022,체인메일,master/assets/items/armor/mu0000022_체인메일.webp,ef0f22115bdd3ae5aff810ec3325f77bf4de7e09,402
armor,mu0000023,태산도복,master/assets/items/armor/mu0000023_태산도복.webp,785654bfcf1c73c31e3b633328efe63b959517b0,294
armor,mu0000024,바르도클,master/assets/items/armor/mu0000024_바르도클.webp,84e25997a459bac400aa67b4cec77ac6c0ec46ae,260
armor,mu0000025,네크로브,master/assets/items/armor/mu0000025_네크로브.webp,10409c208c9ee207dacaf6a304424defe9623237,300
armor,mu0000026,UNNAMED,master/assets/items/armor/mu0000026_UNNAMED.webp,1ee222d4376eb6488a05ccaa1a42be29aa0b3bbe,378
armor,mu0000027,풀플레이트,master/assets/items/armor/mu0000027_풀플레이트.webp,7c7f36add99b628b96173f19644ab7bab5555515,458
armor,mu0000028,이프리트메일,master/assets/items/armor/mu0000028_이프리트메일.webp,a148e814a299e3f235e28f45e5628cefac72cee4,400
armor,mu0000029,골든플레이트,master/assets/items/armor/mu0000029_골든플레이트.webp,d88a19ef4e54117809c9c72f52f2d99585cce831,566
armor,mu0000030,망토,master/assets/items/armor/mu0000030_망토.webp,efb12adaabe2d4b0d3efcd9cbb612aa764dca296,504
armor,mu0000031,턱시도,master/assets/items/armor/mu0000031_턱시도.webp,441c4adb37132dd34cb29729a99bf4ddbe2bdeba,546
armor,mu0000032,트렁크,master/assets/items/armor/mu0000032_트렁크.webp,9c8e37d3a34e4813b7551945ee2b229e3dbd5688,146
armor,mu0000033,크라운,master/assets/items/armor/mu0000033_크라운.webp,1c39d5f971955a15ef0a363aba43c41c94f9f710,350
armor,mu0000034,박쥐코스튬,master/assets/items/armor/mu0000034_박쥐코스튬.webp,5dba1955ab9fe993e3ab1a60fac7ee76c3264382,372
armor,mu0000035,UNNAMED,master/assets/items/armor/mu0000035_UNNAMED.webp,e0dc77d1a9bae199c60e23e8fd22e54c5640b808,492
armor,mu0000036,헬나이트아머,master/assets/items/armor/mu0000036_헬나이트아머.webp,3f348ced4d79cb406ffb02efe72e9e42dfcb12a1,506
armor,mu0000037,헬시프아머,master/assets/items/armor/mu0000037_헬시프아머.webp,31c1688fccfa04ea8a0b498bf7d7cf143a0390bc,500
armor,mu0000038,헬소서러로브,master/assets/items/armor/mu0000038_헬소서러로브.webp,813bf1516893ea6fdda66db6bffeec4362040fc7,310
armor,mu0000039,UNNAMED,master/assets/items/armor/mu0000039_UNNAMED.webp,813bf1516893ea6fdda66db6bffeec4362040fc7,310
armor,mu0000040,헬몽크아머,master/assets/items/armor/mu0000040_헬몽크아머.webp,16cc3edd658e83eff630af5a427f7ecc002daeef,406
armor,mu0000041,홀리데이코트,master/assets/items/armor/mu0000041_홀리데이코트.webp,a03c8ec5ee97fdbade58cbfcaefa751a09dfd9ba,430
armor,mu0000043,수오미지폰,master/assets/items/armor/mu0000043_수오미지폰.webp,8bd479b0cd23a7142a595dd413f7729ae93ab6fd,302
armor,mu0000044,밀레스지폰,master/assets/items/armor/mu0000044_밀레스지폰.webp,13e677d91c8ed238b0f9d584958c41ae4f28219e,300
