Source_ID,설명,URL,Evidence,,,,,,,,,,,,,,,,,,,,,,
SRC_OFFICIAL_INTRO,게임 소개,https://lod.nexon.com/info/intro,O,,,,,,,,,,,,,,,,,,,,,,
SRC_CHARACTER,캐릭터 생성,https://lod.nexon.com/info/guide/82283,O,,,,,,,,,,,,,,,,,,,,,,
SRC_HUD,기본 화면,https://lod.nexon.com/info/guide/82285,O,,,,,,,,,,,,,,,,,,,,,,
SRC_SLOT,통합슬롯,https://lod.nexon.com/info/guide/82284,O,,,,,,,,,,,,,,,,,,,,,,
SRC_MENU_RIGHT,우측 메뉴,https://lod.nexon.com/info/guide/82295,O,,,,,,,,,,,,,,,,,,,,,,
SRC_MENU_TOP,상단 메뉴,https://lod.nexon.com/info/guide/82287,O,,,,,,,,,,,,,,,,,,,,,,
SRC_DEATH,사망과 부활,https://lod.nexon.com/info/guide/82290,O,,,,,,,,,,,,,,,,,,,,,,
SRC_SKILL_GUIDE,기술과 마법,https://lod.nexon.com/info/guide/82293,O,,,,,,,,,,,,,,,,,,,,,,
SRC_STATS,스탯,https://lod.nexon.com/info/guide/82294,O,,,,,,,,,,,,,,,,,,,,,,
SRC_LEVEL,레벨,https://lod.nexon.com/info/guide/82291,O,,,,,,,,,,,,,,,,,,,,,,
SRC_WARRIOR,전사 기술 목록,https://lod.nexon.com/community/game/1429?SearchBoard=1,V,,,,,,,,,,,,,,,,,,,,,,
SRC_ROGUE,도적 기술 목록,https://lod.nexon.com/community/game/395118?SearchBoard=2,V,,,,,,,,,,,,,,,,,,,,,,
SRC_WIZARD,마법사 기술 목록,https://lod.nexon.com/community/game/5819?SearchBoard=1,V,,,,,,,,,,,,,,,,,,,,,,
SRC_HUNT,클래식 사냥터/몬스터,https://lod.nexon.com/community/game/6227?SearchBoard=1,V,,,,,,,,,,,,,,,,,,,,,,
SRC_ELEMENT,속성/목걸이/벨트,https://lod.nexon.com/Community/game/6222?Category2=1&SearchBoard=1,V,,,,,,,,,,,,,,,,,,,,,,
