Skill_ID,스킬명,직업,단계,종류,소모자원,소모량,요구Lv,요구스탯,선행/재료/Gold,Source_URL,Evidence,상태,비고,서클,행동분류,대상,사거리/범위,속성,핵심효과,발동조건/제한,숙련도/실패,선행스킬,Runtime_Data_Status,Effect_Evidence,Detail_Source_URL,검증메모,Runtime_Inclusion
SK_전사_001,숏블레이드,전사,일반,기술,기본 MP 소모 없음,,,,,https://lod.nexon.com/community/game/1429?SearchBoard=1,V,CONFIRMED_NAME,,1,Attack,적,전방 1칸,,초기 전사 공격기,직업 습득/지급 계열,사용 숙련도 적용,,EFFECT_VERIFIED,FAN-VERIFIED,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95,,INCLUDE
SK_전사_002,더블어택,전사,일반,기술,기본 MP 소모 없음,,,,,https://lod.nexon.com/community/game/1429?SearchBoard=1,V,CONFIRMED_NAME,,2,Passive/Attack,적,기본공격 연동,,기본공격과 동시 발동하여 2회 타격 구조,일반 기본공격 입력에 연동,사용 숙련도 적용,,EFFECT_VERIFIED,FAN-VERIFIED,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95,,INCLUDE
SK_전사_003,윈드블레이드,전사,일반,기술,기본 MP 소모 없음,,,,,https://lod.nexon.com/community/game/1429?SearchBoard=1,V,CONFIRMED_NAME,,2,Attack,적,전방 3칸,,전방 직선 공격,대상/방향 유효,사용 숙련도 적용,,EFFECT_VERIFIED,FAN-VERIFIED,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95,,INCLUDE
SK_전사_004,디바투,전사,일반,기술,기본 MP 소모 없음,,,,,https://lod.nexon.com/community/game/1429?SearchBoard=1,V,CONFIRMED_NAME,,2,Dispel,자신,자신,,이동불가(바투) 해제,바투 상태,사용 숙련도 적용,,EFFECT_VERIFIED,FAN-VERIFIED,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95,,INCLUDE
SK_전사_005,트리플어택,전사,일반,기술,기본 MP 소모 없음,,,,,https://lod.nexon.com/community/game/1429?SearchBoard=1,V,CONFIRMED_NAME,,3,Passive/Attack,적,기본공격 연동,,기본공격 3타 구조,일반 기본공격 입력에 연동,사용 숙련도 적용,,EFFECT_VERIFIED,FAN-VERIFIED,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95,,INCLUDE
SK_전사_006,메가블레이드,전사,일반,기술,기본 MP 소모 없음,,,,,https://lod.nexon.com/community/game/1429?SearchBoard=1,V,CONFIRMED_NAME,,3,Attack,적,사방 1칸,,전후좌우 1칸 공격,유효 대상 존재,사용 숙련도 적용,,EFFECT_VERIFIED,FAN-VERIFIED,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95,,INCLUDE
SK_전사_007,바투,전사,일반,기술,기본 MP 소모 없음,,,,,https://lod.nexon.com/community/game/1429?SearchBoard=1,V,CONFIRMED_NAME,,3,CrowdControl,적,단일,,이동 불가. 기술/마법/아이템 사용은 가능,대상 면역 여부 확인,사용 숙련도 적용,,EFFECT_VERIFIED,FAN-VERIFIED,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95,,INCLUDE
SK_전사_008,투핸드어택,전사,일반,기술,기본 MP 소모 없음,,,,,https://lod.nexon.com/community/game/1429?SearchBoard=1,V,CONFIRMED_NAME,,4,Passive/Equipment,자신,자신,,양손무기 장착 허용,해당 기술 보유,패시브,,EFFECT_VERIFIED,FAN-VERIFIED,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95,,INCLUDE
SK_전사_009,드래곤모드,전사,일반,기술,기본 MP 소모 없음,,,,,https://lod.nexon.com/community/game/1429?SearchBoard=1,V,CONFIRMED_NAME,,4,Buff/Drain,자신,자신,,"DAM+4, HIT+10; 지속 중 체력 감소",활성 유지,사용 숙련도 적용,,EFFECT_VERIFIED,FAN-VERIFIED,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95,,INCLUDE
SK_전사_010,피닉스모드,전사,일반,기술,기본 MP 소모 없음,,,,,https://lod.nexon.com/community/game/1429?SearchBoard=1,V,CONFIRMED_NAME,,4,Buff/Drain,자신,자신,,"드래곤모드의 상위 모드. 습득 시 드래곤모드는 삭제/대체된다. DAM/HIT 상승량은 드래곤모드의 2배이며, 지속 중 HP 감소는 드래곤모드와 동일한 방식.",피닉스모드 습득 시 드래곤모드 제거/대체. 지속 중 HP 감소.,숙련도 적용,드래곤모드,USER_CONFIRMED,U+V,https://lod.nexon.com/community/game/3089?SearchBoard=1,사용자 플레이 기억으로 대체/2배 강화/동일 HP감소를 보강. 정확 절대 DAM/HIT 수치는 별도 원본값 확인 필요.,INCLUDE
