Visual_ID,Scope,Source_Page,Direct_Asset_URL,OID,Source_Status,Mapping_Status,Evidence,Notes
SKILL_ICON_SHEET_01,SKILL_ICON_SHEET,https://lod.nexon.com/news/notice/4044,https://file.nexon.com/NxFile/Notice/Download/ImagePreviewer.aspx?oidFile=6940049224801245658,6940049224801245658,SOURCE_FOUND,SHEET_ONLY,O,Official Nexon skill icon change notice image
SKILL_ICON_SHEET_02,SKILL_ICON_SHEET,https://lod.nexon.com/news/notice/4044,https://file.nexon.com/NxFile/Notice/Download/ImagePreviewer.aspx?oidFile=6940049224801245659,6940049224801245659,SOURCE_FOUND,SHEET_ONLY,O,Official Nexon skill icon change notice image
SKILL_ICON_SHEET_03,SKILL_ICON_SHEET,https://lod.nexon.com/news/notice/4044,https://file.nexon.com/NxFile/Notice/Download/ImagePreviewer.aspx?oidFile=6940049224801245660,6940049224801245660,SOURCE_FOUND,SHEET_ONLY,O,Official Nexon skill icon change notice image
SKILL_ICON_SHEET_04,SKILL_ICON_SHEET,https://lod.nexon.com/news/notice/4044,https://file.nexon.com/NxFile/Notice/Download/ImagePreviewer.aspx?oidFile=6940049224801245661,6940049224801245661,SOURCE_FOUND,SHEET_ONLY,O,Official Nexon skill icon change notice image
SKILL_ICON_SHEET_05,SKILL_ICON_SHEET,https://lod.nexon.com/news/notice/4044,https://file.nexon.com/NxFile/Notice/Download/ImagePreviewer.aspx?oidFile=6940049224801245662,6940049224801245662,SOURCE_FOUND,SHEET_ONLY,O,Official Nexon skill icon change notice image
SKILL_ICON_SHEET_06,SKILL_ICON_SHEET,https://lod.nexon.com/news/notice/4044,https://file.nexon.com/NxFile/Notice/Download/ImagePreviewer.aspx?oidFile=6940049224801245664,6940049224801245664,SOURCE_FOUND,SHEET_ONLY,O,Official Nexon skill icon change notice image
SKILL_ICON_SHEET_07,SKILL_ICON_SHEET,https://lod.nexon.com/news/notice/4044,https://file.nexon.com/NxFile/Notice/Download/ImagePreviewer.aspx?oidFile=6940049224801245665,6940049224801245665,SOURCE_FOUND,SHEET_ONLY,O,Official Nexon skill icon change notice image
SKILL_ICON_SHEET_08,SKILL_ICON_SHEET,https://lod.nexon.com/news/notice/4044,https://file.nexon.com/NxFile/Notice/Download/ImagePreviewer.aspx?oidFile=6940049224801245666,6940049224801245666,SOURCE_FOUND,SHEET_ONLY,O,Official Nexon skill icon change notice image
SKILL_ICON_SHEET_09,SKILL_ICON_SHEET,https://lod.nexon.com/news/notice/4044,https://file.nexon.com/NxFile/Notice/Download/ImagePreviewer.aspx?oidFile=6940049224801245667,6940049224801245667,SOURCE_FOUND,SHEET_ONLY,O,Official Nexon skill icon change notice image
SKILL_ICON_SHEET_10,SKILL_ICON_SHEET,https://lod.nexon.com/news/notice/4044,https://file.nexon.com/NxFile/Notice/Download/ImagePreviewer.aspx?oidFile=6940049224801245668,6940049224801245668,SOURCE_FOUND,SHEET_ONLY,O,Official Nexon skill icon change notice image
SKILL_ICON_SHEET_11,SKILL_ICON_SHEET,https://lod.nexon.com/news/notice/4044,https://file.nexon.com/NxFile/Notice/Download/ImagePreviewer.aspx?oidFile=6940049224801245669,6940049224801245669,SOURCE_FOUND,SHEET_ONLY,O,Official Nexon skill icon change notice image
